key,summary,assignee,priority,status,last_updated,url
SERVER-127353,Add ReshardingRecipientPostCloningDeltaCollector and coordinator DAO support,Wenqin Ye,Major - P3,In Progress,2026-05-21,https://jira.mongodb.org/browse/SERVER-127353
SERVER-127347,Increase defaultFindReplicaSetHostTimeoutMS on mongos for san builds,Nicholas Jefferies,Major - P3,In Code Review,2026-05-21,https://jira.mongodb.org/browse/SERVER-127347
SERVER-127344,Document and rename container::ExistingKeyPolicy values,Parker Felix,Major - P3,Backlog,2026-05-21,https://jira.mongodb.org/browse/SERVER-127344
SERVER-127343,Revisit applyOps handling of container writes on local db,Parker Felix,Major - P3,Backlog,2026-05-21,https://jira.mongodb.org/browse/SERVER-127343
SERVER-127339,Check lastSpilledRecordId when determining whether to insert key during PDIB scan,Gregory Noma,Major - P3,In Code Review,2026-05-21,https://jira.mongodb.org/browse/SERVER-127339
SERVER-127338,Use lastSpilledRecordId when determining where to resume PDIB scan,Gregory Noma,Major - P3,Needs Merge,2026-05-21,https://jira.mongodb.org/browse/SERVER-127338
SERVER-127336,Add an optional UUID field to the config.shards schema and ShardType class,Paolo Polato,Major - P3,In Progress,2026-05-21,https://jira.mongodb.org/browse/SERVER-127336
SERVER-127332,Extract query_knobs into a dedicated module,Catalin Sumanaru,Major - P3,In Code Review,2026-05-21,https://jira.mongodb.org/browse/SERVER-127332
SERVER-127303,failedHostPreHandshake is unused in streamable_replica_set_monitor.cpp,Joseph Prince,Major - P3,Open,2026-05-20,https://jira.mongodb.org/browse/SERVER-127303
SERVER-127301,Step-up after rotation testing for push mode,Unassigned,Major - P3,Needs Scheduling,2026-05-20,https://jira.mongodb.org/browse/SERVER-127301
SERVER-127300,Multiversion testing for push mode,Unassigned,Major - P3,Needs Scheduling,2026-05-20,https://jira.mongodb.org/browse/SERVER-127300
SERVER-127299,Crash/restart testing in push mode,Unassigned,Major - P3,Needs Scheduling,2026-05-20,https://jira.mongodb.org/browse/SERVER-127299
SERVER-127288,Split up MultiIndexBlock::_constructStateObject,Gregory Noma,Major - P3,In Code Review,2026-05-20,https://jira.mongodb.org/browse/SERVER-127288
SERVER-127287,[M2 - Search Extension] Sharded Execution,Unassigned,Major - P3,Open,2026-05-20,https://jira.mongodb.org/browse/SERVER-127287
SERVER-127284,Extend SorterChecksumCalculator to handle WCE,Stephanie Eristoff,Major - P3,In Progress,2026-05-21,https://jira.mongodb.org/browse/SERVER-127284
SERVER-127270,Test that writeConflicts do not lead to duplicate logic from onSpill(),Stephanie Eristoff,Major - P3,Open,2026-05-20,https://jira.mongodb.org/browse/SERVER-127270
SERVER-127267,Add Server support for SLES 16,Daniel Moody,Minor - P4,Open,2026-05-20,https://jira.mongodb.org/browse/SERVER-127267
SERVER-127260,Use passkey idiom instead of friending std functions,Guillaume Racicot,Major - P3,In Code Review,2026-05-20,https://jira.mongodb.org/browse/SERVER-127260
SERVER-127255,Implement sbe::value::getApproximateSize for all SBE types,Ivan Fefer,Major - P3,In Code Review,2026-05-20,https://jira.mongodb.org/browse/SERVER-127255
SERVER-127252,Consolidate try/catch blocks in MultiIndexBlock::dumpInsertsFromBulk,Gregory Noma,Minor - P4,Needs Merge,2026-05-21,https://jira.mongodb.org/browse/SERVER-127252
SERVER-127249,Simplify query knob infrastructure via MONGO_INITIALIZER registration,Catalin Sumanaru,Major - P3,Needs Scheduling,2026-05-21,https://jira.mongodb.org/browse/SERVER-127249
SERVER-127248,Simplify query_knob module structure and unify test fixtures,Catalin Sumanaru,Major - P3,Needs Scheduling,2026-05-21,https://jira.mongodb.org/browse/SERVER-127248
SERVER-127247,Migrate query knob descriptor headers to EXPAND tables and auto-generate QueryKnobConfiguration getters,Catalin Sumanaru,Major - P3,Needs Scheduling,2026-05-21,https://jira.mongodb.org/browse/SERVER-127247
SERVER-127246,Add infrastructure for auto-generating typed QueryKnob accessors,Catalin Sumanaru,Major - P3,Needs Scheduling,2026-05-21,https://jira.mongodb.org/browse/SERVER-127246
SERVER-127245,Introduce QueryKnob macro framework,Catalin Sumanaru,Major - P3,Needs Scheduling,2026-05-21,https://jira.mongodb.org/browse/SERVER-127245
SERVER-127239,Test concurrent array insert during non-join-opt sampling CE,Evan Bergeron,Major - P3,Backlog,2026-05-20,https://jira.mongodb.org/browse/SERVER-127239
SERVER-127235,Add timeout to CSM wait commands in coordinator,Wenqin Ye,Major - P3,In Progress,2026-05-20,https://jira.mongodb.org/browse/SERVER-127235
